"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
0,0,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,4,0,2
0,0,0,1,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,2,5,2,5
3,4,1,6,5,2,2,18,6,28
3,0,1,4,1,3,1,7,7,15
0,1,0,3,3,1,1,5,1,7
0,0,1,2,0,1,1,4,3,6
3,4,3,4,4,3,3,9,12,15
3,2,1,5,2,2,3,2,6,11
2,0,0,2,1,2,1,3,5,5
4,5,1,5,5,2,2,15,8,24
0,7,2,3,2,1,2,11,4,9
0,0,0,2,0,0,0,2,1,3
0,6,0,3,2,1,1,5,2,6
2,3,3,5,3,1,5,10,6,13
2,1,3,4,2,1,2,5,4,5
1,3,2,2,3,3,2,11,8,10
1,3,1,0,1,0,2,4,2,5
3,5,1,1,1,4,1,11,7,19
1,1,3,4,1,2,2,6,7,9
2,5,2,5,1,2,0,8,5,13
0,0,1,2,0,1,0,5,2,7
3,7,1,6,3,2,3,13,9,24
5,1,3,6,3,3,6,7,10,15
2,3,0,3,2,0,1,6,4,10
1,1,1,7,1,4,2,9,14,9
3,5,4,8,5,1,8,9,10,15
1,4,1,3,1,4,0,9,5,11
1,5,1,3,4,3,2,12,8,14
0,5,1,1,1,2,1,7,7,13
0,1,0,3,3,0,2,6,1,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
