from,to,inertia
poverty,hunger,
poverty,health,
poverty,education,
poverty,gender,
poverty,clean,
poverty,energy,
poverty,work,
poverty,industry,
poverty,inequalities,
poverty,cities,
poverty,consumption,
poverty,climate,
poverty,water,
poverty,land,
poverty,peace,
hunger,health,
hunger,education,
hunger,gender,
hunger,clean,
hunger,energy,
hunger,work,
hunger,industry,
hunger,inequalities,
hunger,cities,
hunger,consumption,
hunger,climate,
hunger,water,
hunger,land,
hunger,peace,
health,education,
health,gender,
health,clean,
health,energy,
health,work,
health,industry,
health,inequalities,
health,cities,
health,consumption,
health,climate,
health,water,
health,land,
health,peace,
education,gender,
education,clean,
education,energy,
education,work,
education,industry,
education,inequalities,
education,cities,
education,consumption,
education,climate,
education,water,
education,land,
education,peace,
gender,clean,
gender,energy,
gender,work,
gender,industry,
gender,inequalities,
gender,cities,
gender,consumption,
gender,climate,
gender,water,
gender,land,
gender,peace,
clean,energy,
clean,work,
clean,industry,
clean,inequalities,
clean,cities,
clean,consumption,
clean,climate,
clean,water,
clean,land,
clean,peace,
energy,work,
energy,industry,
energy,inequalities,
energy,cities,
energy,consumption,
energy,climate,
energy,water,
energy,land,
energy,peace,
work,industry,
work,inequalities,
work,cities,
work,consumption,
work,climate,
work,water,
work,land,
work,peace,
industry,inequalities,
industry,cities,
industry,consumption,
industry,climate,
industry,water,
industry,land,
industry,peace,
inequalities,cities,
inequalities,consumption,
inequalities,climate,
inequalities,water,
inequalities,land,
inequalities,peace,
cities,consumption,
cities,climate,
cities,water,
cities,land,
cities,peace,
consumption,climate,
consumption,water,
consumption,land,
consumption,peace,
climate,water,
climate,land,
climate,peace,
water,land,
water,peace,
land,peace,
